0000.001 (0) Opened log file at time: Fri, 10 Nov 2017 01:58:48 +0000 on http://mpd150.labsix.co
0000.005 (0) UpdraftPlus WordPress backup plugin (https://updraftplus.com): 1.13.12 WP: 4.8.3 PHP: 7.0.19-1 (apache2handler, Linux mpd150 4.9.0-4-amd64 #1 SMP Debian 4.9.51-1 (2017-09-28) x86_64) MySQL: 5.5.5 WPLANG: en_US Server: Apache/2.4.25 (Debian) safe_mode: 0 max_execution_time: 900 memory_limit: 256M (used: 4.8M | 6M) multisite: N openssl: OpenSSL 1.1.0e  16 Feb 2017 mcrypt: N LANG: C ZipArchive::addFile: N
0000.007 (0) Free space on disk containing Updraft's temporary directory: 26999.7 MB
0000.012 (0) Tasks: Backup files: 1 (schedule: daily) Backup DB:  (schedule: daily)
0000.014 (0) Processed schedules. Combining jobs from identical schedules. Tasks now: Backup files: 1 Backup DB: 1
0000.019 (0) Requesting semaphore lock (fd) (apparently via scheduler: last_scheduled_action_called_at=1510184445, seconds_ago=94683)
0011.515 (0) Only one archive required (UpdraftPlus_PclZip) - will attempt to do in single operation (data: 84488.6 KB, split: 409600 KB)
0011.523 (0) Zip: backup_2017-11-10-0158_MPD150_daed402e1b71-themes.zip.tmp: 100 files added (on-disk size: 0 KB)
0011.529 (0) Zip: backup_2017-11-10-0158_MPD150_daed402e1b71-themes.zip.tmp: 200 files added (on-disk size: 0 KB)
0011.537 (0) Zip: backup_2017-11-10-0158_MPD150_daed402e1b71-themes.zip.tmp: 300 files added (on-disk size: 0 KB)
0011.545 (0) Zip: backup_2017-11-10-0158_MPD150_daed402e1b71-themes.zip.tmp: 400 files added (on-disk size: 0 KB)
0011.552 (0) Zip: backup_2017-11-10-0158_MPD150_daed402e1b71-themes.zip.tmp: 500 files added (on-disk size: 0 KB)
0011.558 (0) Zip: backup_2017-11-10-0158_MPD150_daed402e1b71-themes.zip.tmp: 600 files added (on-disk size: 0 KB)
0011.564 (0) Zip: backup_2017-11-10-0158_MPD150_daed402e1b71-themes.zip.tmp: 700 files added (on-disk size: 0 KB)
0011.571 (0) Zip: backup_2017-11-10-0158_MPD150_daed402e1b71-themes.zip.tmp: 800 files added (on-disk size: 0 KB)
0011.577 (0) Zip: backup_2017-11-10-0158_MPD150_daed402e1b71-themes.zip.tmp: 900 files added (on-disk size: 0 KB)
0011.585 (0) Zip: backup_2017-11-10-0158_MPD150_daed402e1b71-themes.zip.tmp: 1000 files added (on-disk size: 0 KB)
